ごるふをするおんな	ごるふをするおんな 🏌️‍♀️
英字	英字 🔠 🔡 🔤
のぶ	のぶ 🎛️
エディット	エディット ✒️
ふたつのはーと	ふたつのはーと 💕
めをとじる	めをとじる 😚
めーるじゅしんちゅう	めーるじゅしんちゅう 📨
丸いボタン	丸いボタン ⚪️ ⚫️ 🔴 🔵 🟠 🟡 🟢 🟣 🟤
下三角１	下三角１ 🔽
きっちんぺーぱー	きっちんぺーぱー 🧻
下三角２	下三角２ ⏬️
げきど	げきど 👿 😡
スマホ禁止	スマホ禁止 📵
下三角３	下三角３ 🔻
がまんするかお	がまんするかお 😣
ショーツ	ショーツ 🩳
じょしがくせい	じょしがくせい 👩‍🎓
理髪店	理髪店 💈
あかげのひと	あかげのひと 🦰
ぱらぐあい	ぱらぐあい 🇵🇾
あきれた	あきれた 🙄 🙄
ふらっぐ	ふらっぐ ⛳️ 🎌 🏁 🏳️ 🏳️‍⚧️ 🏴 🚩
!	! ‼️ ‼️ ⁉️ ⁉️ ❕️ ❕️ ❗️ ❗️
えだつの	えだつの 🫎
#	# #️⃣ #️⃣ 💢
ルーマニア	ルーマニア 🇷🇴
*	* *️⃣ *️⃣
あおいまる	あおいまる 🔵
+	+ ➕️ ➕️
牡蠣	牡蠣 🦪
男性技術者	男性技術者 👨‍💻
ちゃっく	ちゃっく 🤐
-	- ➖️ ➖️
/	/ ➗️ ➗️
グリーン	グリーン 🥗
けわしいひょうじょう	けわしいひょうじょう 🙎
北	北 ⬆️
0	0 0️⃣ 0️⃣
しゃがいひ	しゃがいひ ㊙️
1	1 1️⃣ 1️⃣
開花	開花 🌷 🌸 🌼
2	2 2️⃣ 2️⃣
ふりーだいやる	ふりーだいやる ➿️
3	3 3️⃣ 3️⃣
衛兵	衛兵 💂 💂‍♀️ 💂‍♂️
4	4 4️⃣ 4️⃣ 🍀 🍀
授乳する人	授乳する人 🧑‍🍼
5	5 5️⃣ 5️⃣ ✋️ ✋️
6	6 6️⃣ 6️⃣
7	7 7️⃣ 7️⃣
8	8 8️⃣ 8️⃣
9	9 9️⃣ 9️⃣
バーガー	バーガー 🍔
?	? ⁉️ ⁉️ ❓️ ❓️ ❔️ ❔️
せきざい	せきざい 🪨
のこぎり	のこぎり 🪚 🪚
国旗（アメリカ）	国旗（アメリカ） 🇺🇸
A	A 🅰️
かじゅある	かじゅある 👖
B	B 🅱️
嬉し泣きする猫	嬉し泣きする猫 😹
さーふぃんするひと	さーふぃんするひと 🏄️
じょせいとじょせいとおんなのことおとこのこのかぞく	じょせいとじょせいとおんなのことおとこのこのかぞく 👩‍👩‍👧‍👦
メール受信	メール受信 📩
ラバーカップ	ラバーカップ 🪠
4時30分	4時30分 🕟️
超人	超人 🦸 🦸‍♀️ 🦸‍♂️ 🦹‍♀️ 🦹‍♂️
なっつ	なっつ 🥜
M	M Ⓜ️ Ⓜ️
だんせいかいしゃいん	だんせいかいしゃいん 👨‍💼
うわむきにすぼめたて	うわむきにすぼめたて 🤌
O	O 🅾️
南	南 ⬇️
P	P 🅿️
なっと	なっと 🔩
時計（４時）	時計（４時） 🕓️
持ち帰り	持ち帰り 🥡
ヤマアラシ	ヤマアラシ 🦔
バドミントン	バドミントン 🏸
べんとうばこ	べんとうばこ 🍱
カーレース	カーレース 🏎️
らぶれたー	らぶれたー 💌
らくだ	らくだ 🐪 🐫 🐫
手を返している人	手を返している人 💁
ばんそうこう	ばんそうこう 🩹 🩹
高輝度	高輝度 🔆
セルビア	セルビア 🇷🇸
めのらー	めのらー 🕎
a	a 🅰️
b	b 🅱️
むしんろん	むしんろん ⚛️
i	i ℹ️ ℹ️
